,model_type,variant,training_time,prediction_time,overall_accuracy,overall_precision,overall_recall,overall_f1,overall_auc,female_accuracy,female_precision,female_recall,female_f1,female_auc,weighted_score
10,ensemble,voting,0.30252957344055176,0.0231781005859375,0.8477366255144033,0.8494623655913979,0.9461077844311377,0.8951841359773371,0.86306334699023,0.927710843373494,0.9074074074074074,0.98,0.9423076923076923,0.9181818181818182,1.0102757938291973
0,logistic_regression,base,0.03479337692260742,0.0,0.8353909465020576,0.8432432432432433,0.9341317365269461,0.8863636363636364,0.8567601638827608,0.8795180722891566,0.8703703703703703,0.94,0.9038461538461539,0.8963636363636364,1.0061727744785758
7,lightgbm,simple,0.11363792419433594,0.005126237869262695,0.823045267489712,0.8406593406593407,0.9161676646706587,0.8767908309455588,0.8498266624645445,0.8795180722891566,0.8846153846153846,0.92,0.9019607843137255,0.8975757575757576,1.000936045189581
4,xgboost,simple,0.11725497245788574,0.010276556015014648,0.8271604938271605,0.8415300546448088,0.9221556886227545,0.88,0.8558146864166404,0.8795180722891566,0.8703703703703703,0.94,0.9038461538461539,0.896969696969697,0.9994861403501609
8,lightgbm,moderate,0.4435703754425049,0.010292291641235352,0.8065843621399177,0.8333333333333334,0.8982035928143712,0.8645533141210374,0.8391900409706902,0.8674698795180723,0.8679245283018868,0.92,0.8932038834951457,0.8703030303030304,0.9778802769333694
5,xgboost,moderate,0.29943060874938965,0.010210752487182617,0.8024691358024691,0.8287292817679558,0.8982035928143712,0.8620689655172413,0.839347620548377,0.8192771084337349,0.8301886792452831,0.88,0.8543689320388349,0.8709090909090909,0.9681942617813568
2,random_forest,moderate,0.8308591842651367,0.056826114654541016,0.8189300411522634,0.8219895287958116,0.9401197604790419,0.8770949720670391,0.8606208635360858,0.8554216867469879,0.8166666666666667,0.98,0.8909090909090909,0.906060606060606,0.9666252849123708
1,random_forest,simple,0.32028722763061523,0.031054258346557617,0.7983539094650206,0.795,0.9520958083832335,0.8664850136239782,0.8766939804601324,0.7951807228915663,0.746268656716418,1.0,0.8547008547008547,0.9181818181818181,0.9631592259163406
9,lightgbm,complex,1.22554349899292,0.01053929328918457,0.8024691358024691,0.825136612021858,0.9041916167664671,0.8628571428571429,0.8445477466120391,0.8433734939759037,0.8490566037735849,0.9,0.8737864077669902,0.8751515151515151,0.9607702553794281
3,random_forest,complex,1.3135778903961182,0.08283448219299316,0.8106995884773662,0.8201058201058201,0.9281437125748503,0.8707865168539326,0.8571541128269776,0.8554216867469879,0.8275862068965517,0.96,0.8888888888888888,0.8878787878787879,0.9542019975291126
6,xgboost,complex,0.7351112365722656,0.010224342346191406,0.7901234567901234,0.8152173913043478,0.8982035928143712,0.8547008547008547,0.8352505515285218,0.8072289156626506,0.8148148148148148,0.88,0.8461538461538461,0.8545454545454545,0.9501164512463519
